regla_id,dimension_calidad,fuente,ambito,variables,regla,criterio_esperado,severidad,registros_evaluados,registros_afectados,porcentaje_afectado,resultado_raw,tratamiento_definido,evidencia_previa,evidencia_posterior
CAL-01,trazabilidad,todas,periodo_2023,archivo y sha256,El archivo debe coincidir con el hash del manifiesto.,0 hashes diferentes,critica,3,0,0.000000,CUMPLE,Detener el flujo si algún hash cambia.,inventario_fuentes.csv,controles_clean.csv; comparacion_antes_despues.csv; manifiesto_salidas_clean.csv; controles_curated.csv; manifiesto_salidas_curated.csv
CAL-02,unicidad,todas,periodo_2023,claves de cada fuente,Las claves declaradas deben ser completas y únicas.,0 nulos y 0 duplicados,critica,199925,0,0.000000,CUMPLE,detener el flujo; no deduplicar silenciosamente,perfilado_claves_relaciones.csv,controles_clean.csv; comparacion_antes_despues.csv; manifiesto_salidas_clean.csv; controles_curated.csv; manifiesto_salidas_curated.csv
CAL-03,integridad_referencial,todas,periodo_2023,cell_index; cell_id; anio; mes,Todas las claves deben encontrar correspondencia y conservar cardinalidad uno a uno.,0 claves sin correspondencia,critica,191928,0,0.000000,CUMPLE,exigir cardinalidad uno a uno por cell_index + anio + mes,perfilado_claves_relaciones.csv,controles_clean.csv; comparacion_antes_despues.csv; manifiesto_salidas_clean.csv; controles_curated.csv; manifiesto_salidas_curated.csv
CAL-04,validez,malla,periodo_2023,geom; srs_id; area_nominal_m2; fraccion_dentro_loja,"Geometría no nula, EPSG:32717, área nominal 250000 m2 y fracción entre 0 y 1.",0 geometrías o atributos espaciales inválidos,critica,7997,0,0.000000,CUMPLE,"Detener el flujo ante geometría nula, CRS inesperado o atributos fuera de rango.",GeoPackage Raw y perfilado_columnas.csv,controles_clean.csv; comparacion_antes_despues.csv; manifiesto_salidas_clean.csv; controles_curated.csv; manifiesto_salidas_curated.csv
CAL-05,completitud,chirps,periodo_2023,claves y precipitación crítica,Las variables críticas de CHIRPS no deben ser nulas.,0 registros incompletos,critica,95964,0,0.000000,CUMPLE,Separar el registro y detener la publicación si afecta la cobertura mensual.,perfilado_columnas.csv y evaluación Raw,controles_clean.csv; comparacion_antes_despues.csv; manifiesto_salidas_clean.csv; controles_curated.csv; manifiesto_salidas_curated.csv
CAL-06,completitud,viirs,periodo_2023,viirs_observed_support_frac y métricas asociadas,Distinguir observación faltante de ausencia de fuego.,Nulos identificados y marcados,alta,95964,900,0.937852,REQUIERE_TRATAMIENTO,"conservar como nulos, marcar observacion_viirs_disponible=false y separar del subconjunto analitico",hallazgos_perfilado.csv y evaluación Raw,controles_clean.csv; comparacion_antes_despues.csv; manifiesto_salidas_clean.csv; controles_curated.csv; manifiesto_salidas_curated.csv
CAL-07,consistencia,viirs y chirps,periodo_2023,anio; mes; anio_mes,anio_mes debe corresponder exactamente con anio y mes; mes entre 1 y 12.,0 inconsistencias,critica,191928,0,0.000000,CUMPLE,Rechazar el registro si no puede reconstruirse de forma inequívoca.,evaluación Raw,controles_clean.csv; comparacion_antes_despues.csv; manifiesto_salidas_clean.csv; controles_curated.csv; manifiesto_salidas_curated.csv
CAL-08,validez,viirs,periodo_2023,detecciones; FRP; días; coberturas,"Conteos, FRP y días no negativos; fracciones entre 0 y 1; porcentajes entre 0 y 100.",0 valores fuera de rango entre registros observados,critica,95064,0,0.000000,CUMPLE,Separar valores inválidos; no recortar ni imputar silenciosamente.,evaluación Raw,controles_clean.csv; comparacion_antes_despues.csv; manifiesto_salidas_clean.csv; controles_curated.csv; manifiesto_salidas_curated.csv
CAL-09,validez,chirps,periodo_2023,precipitación; días; coberturas,Precipitación y días no negativos; fracciones entre 0 y 1; porcentajes entre 0 y 100.,0 valores fuera de rango con tolerancia documentada,critica,95964,0,0.000000,CUMPLE,Separar valores inválidos; aplicar tolerancia solo a ruido de punto flotante.,evaluación Raw,controles_clean.csv; comparacion_antes_despues.csv; manifiesto_salidas_clean.csv; controles_curated.csv; manifiesto_salidas_curated.csv
CAL-10,consistencia,chirps,periodo_2023,días húmedos; días secos; días válidos; precipitación,Húmedos + secos = válidos y acumulada = media diaria por días válidos dentro de tolerancia.,0 inconsistencias; tolerancia 0.0001 mm,alta,95964,0,0.000000,CUMPLE,Revisar el origen y separar registros que excedan la tolerancia.,evaluación Raw,controles_clean.csv; comparacion_antes_despues.csv; manifiesto_salidas_clean.csv; controles_curated.csv; manifiesto_salidas_curated.csv
CAL-11,consistencia,viirs,periodo_2023,detecciones y evidencia_fuego,Evidencia de fuego debe equivaler a detecciones mayores que cero en registros observados.,0 contradicciones,alta,95064,0,0.000000,CUMPLE,Separar contradicciones para revisión; no recodificar sin trazabilidad.,evaluación Raw,controles_clean.csv; comparacion_antes_despues.csv; manifiesto_salidas_clean.csv; controles_curated.csv; manifiesto_salidas_curated.csv
